Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Linaglip,Beximco ,Linagliptin,Type 2 diabetes mellitus,5 mg once daily,,,,Use only if clearly needed; insufficient human data.
Diabex XR,Beximco ,Metformin HCl (Extended Release),Type 2 diabetes mellitus,500–2000 mg/day with food,,,,"Considered safe, widely used"
Glibex,Beximco ,Glibenclamide,Type 2 diabetes mellitus,2.5–10 mg/day in divided doses,,,,Avoid in late pregnancy
Linatin,Beximco ,Linagliptin,Type 2 diabetes mellitus,5 mg once daily,,,,Use only if clearly needed
Januvia Bex,Beximco ,Sitagliptin,Type 2 diabetes mellitus,100 mg once daily,,,,Limited data; caution advised
Diabetmin,Beximco ,Metformin HCl,Type 2 diabetes mellitus,500 mg BID or 850 mg once daily with food,,,,Safe; widely recommended
Vildex,Beximco ,Vildagliptin,Type 2 diabetes mellitus,50 mg BID,,,,Use only if clearly needed
Bexida M,Beximco ,Sitagliptin + Metformin,Type 2 diabetes mellitus,50/500 mg BID or as prescribed,,,,Use if benefit outweighs risk
Empaglif,Beximco ,Empagliflozin,Type 2 diabetes mellitus,10–25 mg once daily,,,,Not recommended in 2nd/3rd trimester
Vildex M,Beximco ,Vildagliptin + Metformin,Type 2 diabetes mellitus,50/500 mg or 50/850 mg BID,,,,Caution advised
Glitapex,Beximco ,Pioglitazone,Type 2 diabetes mellitus,15–45 mg once daily,,,,Not recommended
Repaglide,Beximco ,Repaglinide,Type 2 diabetes mellitus,0.5–4 mg before meals,,,,Avoid if possible
Trajenta M,Beximco ,Linagliptin + Metformin,Type 2 diabetes mellitus,2.5/500 mg or 2.5/1000 mg BID,,,,Caution; limited data
Forxiga Bex,Beximco ,Dapagliflozin,Type 2 diabetes mellitus,5–10 mg once daily,,,,Avoid in pregnancy
Bexidapa M,Beximco ,Dapagliflozin + Metformin,Type 2 diabetes mellitus,5/500 mg or 10/1000 mg once or twice daily,,,,Use only if clearly needed
Glucozid,Square ,Gliclazide,Type 2 diabetes mellitus,40–320 mg daily in divided doses before meals,,,,Avoid; limited data
Glucozid MR,Square ,Gliclazide (Modified Release),Type 2 diabetes mellitus,30–120 mg once daily with breakfast,,,,Caution advised
Metfor,Square ,Metformin Hydrochloride,Type 2 diabetes mellitus,500–2000 mg/day in divided doses with meals,,,,Safe and widely used
Metfor XR,Square ,Metformin Hydrochloride (Extended Release),Type 2 diabetes mellitus,500–2000 mg once daily with evening meal,,,,Safe in pregnancy
Linatab,Square ,Linagliptin,Type 2 diabetes mellitus,5 mg once daily,,,,Use only if clearly needed
Vilda,Square ,Vildagliptin,Type 2 diabetes mellitus,50 mg twice daily,,,,Caution advised
Vilda M,Square ,Vildagliptin + Metformin,Type 2 diabetes mellitus,50/500 mg or 50/850 mg twice daily,,,,Use if benefit outweighs risk
Sitadin,Square ,Sitagliptin,Type 2 diabetes mellitus,100 mg once daily,,,,Limited human data; caution advised
Sitadin M,Square ,Sitagliptin + Metformin,Type 2 diabetes mellitus,50/500 mg or 50/1000 mg twice daily,,,,Use only if clearly needed
Empa,Square ,Empagliflozin,Type 2 diabetes mellitus,10–25 mg once daily,,,,Not recommended in 2nd/3rd trimester
Empa M,Square ,Empagliflozin + Metformin,Type 2 diabetes mellitus,5/500 mg or 12.5/1000 mg twice daily,,,,Use with caution
Dapa,Square ,Dapagliflozin,Type 2 diabetes mellitus,5–10 mg once daily,,,,Avoid in pregnancy
Dapa M,Square ,Dapagliflozin + Metformin,Type 2 diabetes mellitus,5/500 mg or 10/1000 mg twice daily,,,,Use only if clearly needed
Pioglimet,Square ,Pioglitazone + Metformin,Type 2 diabetes mellitus,15/500 mg or 30/850 mg once or twice daily,,,,Not recommended
Reclimet,Square ,Repaglinide + Metformin,Type 2 diabetes mellitus,0.5/500 mg before meals,,,,Avoid if possible
Gluxen XR 500,Incepta ,Metformin Hydrochloride (Extended Release),Type 2 Diabetes Mellitus,500–2000 mg once daily with evening meal,,,,Use only if clearly needed
Glymin Plus,Incepta ,Metformin + Glimepiride,Type 2 Diabetes Mellitus,1–2 tablets daily with meals,,,,Avoid if possible
Vildomet 50/500,Incepta ,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if clearly needed
Dianorm-M 500,Incepta ,Metformin + Gliclazide,Type 2 Diabetes Mellitus,1 tablet 1–2 times daily with meals,,,,Not recommended unless essential
Linmet 5/500,Incepta ,Linagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Caution advised
Tenformin 20/500,Incepta ,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily after meals,,,,Use only if clearly necessary
Insulor 70/30,Incepta ,Biphasic Isophane Insulin (70/30),Type 1 & 2 Diabetes,"Subcutaneous injection, individualized dosage",,,,Safe if required
Insulor R,Incepta ,Regular Human Insulin,Type 1 & 2 Diabetes,SC injection 30 mins before meals,,,,Safe if prescribed
DapaMet 10/500,Incepta ,Dapagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet daily with food,,,,Not recommended in pregnancy
Sitmet 50/500,Incepta ,Sitagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if clearly needed
Glicomide 40,Incepta ,Gliclazide,Type 2 Diabetes Mellitus,40–160 mg daily,,,,Use only if essential
Vildagen 50,Incepta ,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use only if benefit outweighs risk
Glimet DS,Incepta ,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Avoid unless necessary
Empagliflo-M 12.5/500,Incepta ,Empagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily,,,,Avoid in pregnancy
Repaglinide 1 mg,Incepta ,Repaglinide,Type 2 Diabetes Mellitus (postprandial),0.5–2 mg before meals,,,,Avoid unless necessary
Metfor 500,Opsonin,Metformin Hydrochloride,Type 2 Diabetes Mellitus,500 mg 2–3 times daily with meals,,,,Use only if clearly needed
Metfor XR 500,Opsonin,Metformin HCl (Extended Release),Type 2 Diabetes Mellitus,500–2000 mg once daily with evening meal,,,,Use with caution
Glimopride 2,Opsonin,Glimepiride,Type 2 Diabetes Mellitus,1–4 mg once daily with breakfast,,,,Avoid unless clearly needed
Glimopride M 2/500,Opsonin,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Not recommended unless necessary
Linopride 5,Opsonin,Linagliptin,Type 2 Diabetes Mellitus,5 mg once daily,,,,Caution advised
Linopride M 5/500,Opsonin,Linagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if benefit justifies risk
Tenofor 20,Opsonin,Teneligliptin,Type 2 Diabetes Mellitus,20 mg once daily,,,,Use only if clearly needed
Tenofor M 20/500,Opsonin,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid during pregnancy
Vildopride 50,Opsonin,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use only if necessary
Vildopride M 50/500,Opsonin,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless essential
Sitaglita 50,Opsonin,Sitagliptin,Type 2 Diabetes Mellitus,50–100 mg once daily,,,,Use only if clearly indicated
Sitaglita M 50/500,Opsonin,Sitagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Not recommended unless clearly indicated
Repaglit 1 mg,Opsonin,Repaglinide,Type 2 Diabetes Mellitus (postprandial),0.5–2 mg before meals,,,,Avoid unless necessary
Gliconil 80 mg,Opsonin,Gliclazide,Type 2 Diabetes Mellitus,40–80 mg once or twice daily,,,,Avoid unless clearly needed
Insopid 30/70,Opsonin,"Biphasic Insulin (30% Regular, 70% NPH)",Type 1 & 2 Diabetes,"SC injection before meals, dose individualized",,,,Safe if clearly needed
Renamet 500,Renata ,Metformin Hydrochloride,Type 2 Diabetes Mellitus,500 mg 2–3 times daily with meals,,,,Use only if clearly needed
Renamet XR 500,Renata ,Metformin XR,Type 2 Diabetes Mellitus,500–2000 mg once daily with dinner,,,,Use with caution
Glimeta 1,Renata ,Glimepiride,Type 2 Diabetes Mellitus,1–4 mg once daily with breakfast,,,,Avoid unless clearly needed
Glimeta M 1/500,Renata ,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Not recommended unless necessary
VildaRen 50,Renata ,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use only if necessary
VildaRen M 50/500,Renata ,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Not recommended unless clearly needed
Tenar 20,Renata ,Teneligliptin,Type 2 Diabetes Mellitus,20 mg once daily,,,,Avoid unless necessary
Tenar M 20/500,Renata ,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if clearly needed
Insulet R,Renata ,Regular Insulin,Type 1 & 2 Diabetes,SC injection 30 minutes before meals,,,,Safe if needed
Insulet N,Renata ,NPH Insulin,Type 1 & 2 Diabetes,SC injection once or twice daily,,,,Safe if clearly indicated
Emparex M 12.5/500,Renata ,Empagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless essential
Sitamed 50/500,Renata ,Sitagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Caution advised
Repaglimide 1,Renata ,Repaglinide,Type 2 Diabetes Mellitus,0.5–2 mg before meals,,,,Avoid unless clearly necessary
Glizid 80,Renata ,Gliclazide,Type 2 Diabetes Mellitus,40–80 mg once or twice daily,,,,Use only if benefit outweighs risk
Insulet Mix 30/70,Renata ,Biphasic Isophane Insulin,Type 1 & 2 Diabetes,"SC injection 30 mins before meals, individualized",,,,Safe under medical supervision
Diabetmin 500,Healthcare,Metformin Hydrochloride,Type 2 Diabetes Mellitus,500 mg 2–3 times daily with meals,,,,Use only if clearly needed
Diabetmin XR 500,Healthcare,Metformin HCl Extended Release,Type 2 Diabetes Mellitus,500–2000 mg once daily with evening meal,,,,Use with caution
Glimcare 2,Healthcare,Glimepiride,Type 2 Diabetes Mellitus,1–4 mg once daily with breakfast,,,,Avoid unless clearly necessary
Glimcare M 2/500,Healthcare,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Use with caution
Tenigard 20,Healthcare,Teneligliptin,Type 2 Diabetes Mellitus,20 mg once daily,,,,Avoid unless essential
Tenigard M 20/500,Healthcare,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Only if benefit outweighs risk
Linacare 5,Healthcare,Linagliptin,Type 2 Diabetes Mellitus,5 mg once daily,,,,Use with caution
Linacare M 5/500,Healthcare,Linagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless clearly indicated
Vildabet 50,Healthcare,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use only if needed
Vildabet M 50/500,Healthcare,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless essential
Insumix 30/70,Healthcare,Biphasic Isophane Insulin,Type 1 & 2 Diabetes,"SC injection before meals, individualized dose",,,,Safe under medical guidance
Insumix R,Healthcare,Regular Insulin,Type 1 & 2 Diabetes,SC injection 30 minutes before meals,,,,Use if clearly indicated
Sitaglin 50,Healthcare,Sitagliptin,Type 2 Diabetes Mellitus,50–100 mg once daily,,,,Use only if benefit outweighs risk
Sitaglin M 50/500,Healthcare,Sitagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Not recommended unless essential
Empagly M 12.5/500,Healthcare,Empagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless clearly needed
Amet 500,ACI,Metformin Hydrochloride,Type 2 Diabetes Mellitus,500 mg 2–3 times daily with meals,,,,Use only if clearly needed
Amet XR 500,ACI,Metformin HCl Extended Release,Type 2 Diabetes Mellitus,500–2000 mg once daily with evening meal,,,,Use with caution
Glimet 2,ACI,Glimepiride,Type 2 Diabetes Mellitus,1–4 mg once daily with breakfast,,,,Avoid unless clearly needed
Glimet M 2/500,ACI,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Not recommended unless essential
Tenoren 20,ACI,Teneligliptin,Type 2 Diabetes Mellitus,20 mg once daily,,,,Avoid unless necessary
Tenoren M 20/500,ACI,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use if benefit outweighs risk
Vildamet 50,ACI,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use with caution
Vildamet M 50/500,ACI,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless essential
InsuRapid,ACI,Insulin Aspart,Type 1 & 2 Diabetes,SC injection 5–10 mins before meals,,,,Safe with monitoring
InsuMix 30/70,ACI,Biphasic Insulin Aspart,Type 1 & 2 Diabetes,SC injection twice daily,,,,Safe if used under supervision
Repanil 1 mg,ACI,Repaglinide,Type 2 Diabetes Mellitus,0.5–2 mg before each meal,,,,Avoid unless necessary
Glypen 5 mg,ACI,Glibenclamide,Type 2 Diabetes Mellitus,2.5–5 mg once or twice daily,,,,Avoid in late pregnancy
Actidiab 15,ACI,Pioglitazone,Type 2 Diabetes Mellitus,15–30 mg once daily,,,,Avoid due to potential fetal harm
Janumet 50/500,ACI,Sitagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use if benefits justify risks
Dapaglif M 10/500,ACI,Dapagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily,,,,Use only if clearly needed
Glyform 500,SK+F,Metformin Hydrochloride,Type 2 Diabetes Mellitus,500 mg 2–3 times daily with meals,,,,Use only if clearly needed
Glyform XR 500,SK+F,Metformin HCl Extended Release,Type 2 Diabetes Mellitus,500–2000 mg once daily with evening meal,,,,Use with caution
Glyzid 2,SK+F,Glimepiride,Type 2 Diabetes Mellitus,1–4 mg once daily with breakfast,,,,Avoid unless clearly needed
Glyzid M 2/500,SK+F,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Use with caution
Tenora 20,SK+F,Teneligliptin,Type 2 Diabetes Mellitus,20 mg once daily,,,,Avoid unless clearly needed
Tenora M 20/500,SK+F,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if needed
Vildora 50,SK+F,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use only if benefits outweigh risk
Vildora M 50/500,SK+F,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Not recommended unless essential
Empava M 12.5/500,SK+F,Empagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily,,,,Use with caution
Empava 10,SK+F,Empagliflozin,Type 2 Diabetes Mellitus,10 mg once daily,,,,Avoid unless necessary
Sitaglin M 50/500,SK+F,Sitagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if benefits justify risks
Sitaglin 50,SK+F,Sitagliptin,Type 2 Diabetes Mellitus,50–100 mg once daily,,,,Avoid unless needed
Glytrol 5,SK+F,Linagliptin,Type 2 Diabetes Mellitus,5 mg once daily,,,,Only if potential benefit justifies risk
Glytrol M 5/500,SK+F,Linagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if clearly needed
Actipio 15,SK+F,Pioglitazone,Type 2 Diabetes Mellitus,15–30 mg once daily,,,,Not recommended due to fetal risk
Metacme 500,ACME,Metformin Hydrochloride,Type 2 Diabetes Mellitus,500 mg 2–3 times daily with meals,,,,Use only if clearly needed
Metacme XR 500,ACME,Metformin HCl Extended Release,Type 2 Diabetes Mellitus,500–2000 mg once daily with evening meal,,,,Use with caution
Glimac 2 mg,ACME,Glimepiride,Type 2 Diabetes Mellitus,1–4 mg once daily with breakfast,,,,Avoid unless clearly needed
Glimac M 2/500,ACME,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Use with caution
Tenlita 20,ACME,Teneligliptin,Type 2 Diabetes Mellitus,20 mg once daily,,,,Avoid unless necessary
Tenlita M 20/500,ACME,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use only if needed
Vildaac 50,ACME,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use if benefit outweighs risk
Vildaac M 50/500,ACME,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Not recommended unless essential
Repaac 1 mg,ACME,Repaglinide,Type 2 Diabetes Mellitus,0.5–2 mg before each meal,,,,Use only if essential
Glibena 5 mg,ACME,Glibenclamide,Type 2 Diabetes Mellitus,2.5–5 mg once or twice daily,,,,Avoid in late pregnancy
Pioglit 15 mg,ACME,Pioglitazone,Type 2 Diabetes Mellitus,15–30 mg once daily,,,,Avoid unless clearly needed
Sitaglinac 50,ACME,Sitagliptin,Type 2 Diabetes Mellitus,50–100 mg once daily,,,,Use only if benefit justifies risk
Sitaglinac M 50/500,ACME,Sitagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Use with caution
Dapaac 10,ACME,Dapagliflozin,Type 2 Diabetes Mellitus,10 mg once daily,,,,Use with monitoring
Dapaac M 10/500,ACME,Dapagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily,,,,Not recommended unless needed
Glucozid 5,Aristopharma ,Glibenclamide,Type 2 Diabetes Mellitus,"2.5–10 mg daily, divided in 1–2 doses",,,,Avoid use in late pregnancy
Glimet 2/500,Aristopharma ,Glimepiride + Metformin,Type 2 Diabetes Mellitus,1 tablet once or twice daily with meals,,,,Use if benefit outweighs risk
Metfast XR 500,Aristopharma ,Metformin HCl Extended Release,Type 2 Diabetes Mellitus,500–2000 mg once daily with dinner,,,,Use only if clearly needed
Glimet XR 2/500,Aristopharma ,Glimepiride + Metformin (Extended Release),Type 2 Diabetes Mellitus,1 tablet once daily with food,,,,Use with caution
Linapril M 5/500,Aristopharma ,Linagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless necessary
Tenarist 20,Aristopharma ,Teneligliptin,Type 2 Diabetes Mellitus,20 mg once daily,,,,Not recommended in pregnancy unless essential
Tenarist M 20/500,Aristopharma ,Teneligliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with meals,,,,Avoid unless clearly needed
Vildamet 50/500,Aristopharma ,Vildagliptin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily with food,,,,Use if potential benefit outweighs risks
Vildanorm 50,Aristopharma ,Vildagliptin,Type 2 Diabetes Mellitus,50 mg twice daily,,,,Use only when clearly needed
Daparin 10,Aristopharma ,Dapagliflozin,Type 2 Diabetes Mellitus,10 mg once daily,,,,Avoid unless no alternatives
Daparin M 10/500,Aristopharma ,Dapagliflozin + Metformin,Type 2 Diabetes Mellitus,1 tablet twice daily,,,,Not recommended unless essential
Pioglim 15,Aristopharma ,Pioglitazone,Type 2 Diabetes Mellitus,15–30 mg once daily,,,,Avoid unless absolutely necessary
Repaglin 1 mg,Aristopharma ,Repaglinide,Type 2 Diabetes Mellitus,0.5–2 mg before meals,,,,Use with caution
Aristomet 850,Aristopharma ,Metformin Hydrochloride,Type 2 Diabetes Mellitus,850 mg twice daily with meals,,,,Safe if benefit outweighs risk
Linapril 5,Aristopharma ,Linagliptin,Type 2 Diabetes Mellitus,5 mg once daily,,,,Not recommended unless no alternative available
Napa Syrup,Beximco,Paracetamol 120 mg/5 ml,Fever and mild to moderate pain in children,10–15 mg/kg every 4–6 hours; not exceeding 60 mg/kg/day,Generally well-tolerated; rare allergic reactions,Considered safe when used as directed,,
Parapy Syrup,Square,Paracetamol 120 mg/5 ml,Relief of fever and pain in pediatric patients,10–15 mg/kg every 4–6 hours; maximum 4 doses in 24 hours,Rare; may include skin rash or liver enzyme elevation with overdose,Safe when used appropriately,,
Peditral ORS,Square,Oral Rehydration Salts (WHO formula),Treatment of dehydration due to diarrhea,Dissolve one sachet in 500 ml of clean water; administer as per dehydration severity,Rare; possible nausea or vomiting,Safe,,
Baby Zinc,Acme,Zinc Sulfate Monohydrate equivalent to 20 mg elemental zinc per 5 ml,Management of acute diarrhea in children,20 mg once daily for 10–14 days,Occasional abdominal discomfort or metallic taste,Generally safe,,
Zincovit Syrup,Sk+f,Zinc Sulfate equivalent to 20 mg elemental zinc per 5 ml,Zinc deficiency and adjunct therapy in diarrhea,20 mg daily for 10–14 days,"Nausea, vomiting, or gastrointestinal discomfort",Safe when used as directed,,
Alben Suspension,Sk+f,Albendazole 200 mg/5 ml,Treatment of intestinal worm infestations,Single dose of 400 mg (10 ml) for children over 2 years; 200 mg (5 ml) for children 1–2 years,"Abdominal pain, nausea, dizziness","Contraindicated, especially in the first trimester",,
Almex Suspension,Square,Albendazole 200 mg/5 ml,Broad-spectrum anthelmintic for various worm infections,Single dose of 400 mg (10 ml) for children over 2 years,"Gastrointestinal discomfort, headache",Not recommended,,
Helben Suspension,Ad-din Pharmaceuticals,Mebendazole 100 mg/5 ml,"Treatment of nematode infections like pinworm, roundworm",100 mg (5 ml) twice daily for 3 days,"Abdominal pain, diarrhea, rash",Use with caution; consult a physician,,
Mebendol Suspension,Doctor’s Chemical Works,Mebendazole 100 mg/5 ml,Effective against a range of helminth infections,100 mg (5 ml) twice daily for 3 days,Rare; may include gastrointestinal upset,Not recommended unless necessary,,
Panamox Suspension,Jayson Pharmaceuticals,Mebendazole 100 mg/5 ml,Treatment of common intestinal worm infections,100 mg (5 ml) twice daily for 3 days,Occasional nausea or abdominal discomfort,Use only if clearly needed,,
Reset Pediatric Drops,Incepta,Paracetamol 80 mg/ml,Fever and mild to moderate pain in infants,10–15 mg/kg every 4–6 hours; not exceeding 60 mg/kg/day,Generally well-tolerated; rare allergic reactions,Considered safe when used as directed,,
Silpol Syrup,Silco Pharmaceutical,Paracetamol 120 mg/5 ml,Relief of fever and pain in pediatric patients,10–15 mg/kg every 4–6 hours; maximum 4 doses in 24 hours,Rare; may include skin rash or liver enzyme elevation with overdose,Safe when used appropriately,,
Sinapol Syrup,Ibn Sina Pharmaceuticals,Paracetamol 120 mg/5 ml,Fever and mild to moderate pain in children,10–15 mg/kg every 4–6 hours; not exceeding 60 mg/kg/day,Generally well-tolerated; rare allergic reactions,Considered safe when used as directed,,
Tamen Syrup,Sk+f,Paracetamol 120 mg/5 ml,Relief of fever and pain in pediatric patients,10–15 mg/kg every 4–6 hours; maximum 4 doses in 24 hours,Rare; may include skin rash or liver enzyme elevation with overdose,Safe when used appropriately,,
Sintel Suspension,ACI,Albendazole 200 mg/5 ml,Treatment of intestinal worm infestations,Single dose of 400 mg (10 ml) for children over 2 years; 200 mg (5 ml) for children 1–2 years,"Abdominal pain, nausea, dizziness","Contraindicated, especially in the first trimester",,
Helmox Suspension,Rephco Pharmaceuticals,Mebendazole 100 mg/5 ml,"Treatment of nematode infections like pinworm, roundworm",100 mg (5 ml) twice daily for 3 days,"Abdominal pain, diarrhea, rash",Use with caution; consult a physician,,
Mebantrin Suspension,Pharmadesh Laboratories,Mebendazole 100 mg/5 ml,Effective against a range of helminth infections,100 mg (5 ml) twice daily for 3 days,Rare; may include gastrointestinal upset,Not recommended unless necessary,,
Solas Suspension,Opsonin,Mebendazole 100 mg/5 ml,Treatment of common intestinal worm infections,100 mg (5 ml) twice daily for 3 days,Occasional nausea or abdominal discomfort,Use only if clearly needed,,
Fevex Syrup,Navana,Paracetamol 120 mg/5 ml,"Fever, pain relief",10–15 mg/kg every 4–6 hours,"Liver toxicity (in overdose), rash",Safe,,
Paracetol Syrup,Renata,Paracetamol 120 mg/5 ml,"Fever, mild to moderate pain",10–15 mg/kg every 4–6 hours,"Rare; rash, liver issues",Safe,,
Orsaline-N,SMC,"ORS (Sodium Chloride, Potassium Chloride, Glucose, etc.)",Dehydration from diarrhea,"According to weight/age, as per WHO ORS guidelines","Nausea, bloating",Safe,,
Zifol Pediatric Drops,Opsonin,Zinc Sulfate (20 mg/5 ml),"Diarrhea, zinc deficiency",20 mg/day for 10–14 days,"Nausea, vomiting",Safe,,
Zedol Suspension,Gonoshasthaya,Zinc Sulfate (20 mg/5 ml),Adjunct in diarrhea,20 mg/day for 10–14 days,GI upset,Safe,,
Zincolife Syrup,Healthcare,Zinc Sulfate (20 mg/5 ml),Zinc supplementation in diarrhea,20 mg daily,Mild GI irritation,Safe,,
Albentel Suspension,Incepta,Albendazole 200 mg/5 ml,Deworming,400 mg (10 ml) once for >2 years; 200 mg for 1–2 years,"Nausea, headache",Not recommended in 1st trimester,,
Zeroworm Suspension,Apex Pharma,Albendazole 200 mg/5 ml,Treatment of worm infestations,Single 400 mg dose for >2 years,Mild GI upset,Avoid in early pregnancy,,
Mebzan Suspension,Drug International,Mebendazole 100 mg/5 ml,"Pinworm, roundworm",100 mg twice daily for 3 days,Rare abdominal pain,Use with caution,,
Vermox Suspension,Nuvista Pharma,Mebendazole 100 mg/5 ml,Deworming,100 mg twice daily for 3 days,Occasional GI discomfort,Not recommended,,
Ziflu Syrup,Incepta,Zinc Sulfate Monohydrate 10 mg/5 ml,Zinc supplementation in diarrhea,20 mg/day for 10–14 days,Mild gastrointestinal irritation,Safe,,
Welzinc Syrup,Healthcare ,Zinc Sulfate Monohydrate 10 mg/5 ml,Zinc supplementation in diarrhea,20 mg/day for 10–14 days,Mild gastrointestinal irritation,Safe,,
Albendol Suspension,Globex Pharmaceuticals,Albendazole 200 mg/5 ml,Treatment of intestinal worm infestations,Single dose of 400 mg (10 ml) for children over 2 years; 200 mg (5 ml) for children 1–2 years,"Abdominal pain, nausea, dizziness","Contraindicated, especially in the first trimester",,
Estazol Suspension,Ibn Sina,Albendazole 200 mg/5 ml,Broad-spectrum anthelmintic for various worm infections,Single dose of 400 mg (10 ml) for children over 2 years,"Gastrointestinal discomfort, headache",Not recommended,,
Panamox Suspension,Jayson,Mebendazole 100 mg/5 ml,Effective against a range of helminth infections,100 mg (5 ml) twice daily for 3 days,Rare; may include gastrointestinal upset,Not recommended unless necessary,,
Syrup-ZP,Pharmadesh,Zinc Sulfate Monohydrate 10 mg/5 ml,Zinc supplementation in diarrhea,20 mg/day for 10–14 days,Mild gastrointestinal irritation,Safe,,
Ace Syrup,Square,Paracetamol 120 mg/5 ml,Relief of fever and mild to moderate pain in children,10–15 mg/kg every 4–6 hours; not exceeding 60 mg/kg/day,Generally well-tolerated; rare allergic reactions,Considered safe when used as directed,,
Pyrenol Syrup,Beximco,Paracetamol 120 mg/5 ml,Relief of fever and pain in pediatric patients,10–15 mg/kg every 4–6 hours; maximum 4 doses in 24 hours,Rare; may include skin rash or liver enzyme elevation with overdose,Safe when used appropriately,,
Hepa Syrup,ACI,Paracetamol 120 mg/5 ml,Fever and mild to moderate pain in children,10–15 mg/kg every 4–6 hours; not exceeding 60 mg/kg/day,Generally well-tolerated; rare allergic reactions,Considered safe when used as directed,,
ORS Fruity,SMC,Oral Rehydration Salts (WHO formula) with added flavor,Dehydration due to diarrhea,As per WHO guidelines; volume based on weight and age,Rare; may include nausea or bloating,Safe,,
MoniMix,SMC,"Micronutrient powder containing Zinc, Iron, and other vitamins",Prevention and treatment of micronutrient deficiencies in children,One sachet daily mixed with food for 60 days,Rare; may include mild gastrointestinal discomfort,Not applicable; intended for pediatric use,,
